source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
P0DP30,Q9QX01,Calm2,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P0DP29,Q9QX01,Calm1,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P0DP31,Q9QX01,Calm3,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P61169,Q9QX01,Drd2,Trpc1,1,1,0,1,1,0,TRIP,TRIP:18261457,1,1,1
B0BN88,Q9QX01,Mdfi,Trpc1,1,0,1,1,0,1,HPRD;TRIP,HPRD:14530267;TRIP:14530267;TRIP:23770672,3,2,2
P29995,Q9QX01,Itpr2,Trpc1,1,1,0,1,1,0,HPRD;TRIP,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564,13,11,2
P30009,Q9QX01,Marcks,Trpc1,1,0,1,1,0,1,TRIP,TRIP:24022404,1,1,1
P23385,Q9QX01,Grm1,Trpc1,1,1,0,1,1,0,TRIP,TRIP:14614461,1,1,1
P84903,Q9QX01,Stim1,Trpc1,1,1,0,1,1,0,IntAct;TRIP,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939,22,21,2
Q9JMI9,Q9QX01,Trpc3,Trpc1,1,1,0,1,1,0,BioGRID;HPRD;TRIP,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,15,13,3
Q9QX01,Q9JMI9,Trpc1,Trpc3,1,1,0,1,1,0,BioGRID;HPRD;TRIP,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,15,13,3
O35119,Q9QX01,Trpc4,Trpc1,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489,15,13,3
Q9QX01,O35119,Trpc1,Trpc4,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489,15,13,3
